age_calBP	d18OcarbVPDB	d18OcarbVint	d18Ocarbivc
92400	-9.11	-9.11	-9.46
92500	-9.30	-9.30	-9.64
92600	-9.29	-9.29	-9.63
92700	-8.96	-8.96	-9.29
92800	-9.02	-9.02	-9.35
92900	-9.18	-9.18	-9.51
93000	-9.27	-9.27	-9.59
93100	-9.22	-9.22	-9.54
93200	-9.06	-9.06	-9.37
93300	-9.04	-9.04	-9.35
93400	-8.94	-8.94	-9.24
93500	-8.93	-8.93	-9.23
93600	-8.86	-8.86	-9.15
93700	-8.90	-8.90	-9.19
93800	-9.05	-9.05	-9.33
93900	-9.05	-9.05	-9.33
94000	-8.94	-8.94	-9.21
94100	-9.03	-9.03	-9.30
94200	-9.03	-9.03	-9.29
94300	-9.31	-9.31	-9.57
94400	-8.92	-8.92	-9.17
94500	-9.13	-9.13	-9.38
94600	-9.06	-9.06	-9.30
94700	-9.07	-9.07	-9.31
94800	-9.04	-9.04	-9.28
94900	-9.15	-9.15	-9.38
95000	-9.05	-9.05	-9.28
95100	-9.05	-9.05	-9.28
95200	-8.98	-8.98	-9.21
95300	-9.07	-9.07	-9.29
95400	-9.08	-9.08	-9.30
95500	-9.00	-9.00	-9.22
95600	-9.07	-9.07	-9.29
95700	-9.05	-9.05	-9.27
95800	-9.13	-9.13	-9.35
95900	-9.27	-9.27	-9.49
96000	-9.35	-9.35	-9.57
96100	-9.33	-9.33	-9.55
96200	-9.22	-9.22	-9.44
96300	-9.31	-9.31	-9.54
96400	-9.42	-9.42	-9.65
96500	-9.33	-9.33	-9.56
96600	-9.15	-9.15	-9.38
96700	-9.56	-9.56	-9.80
96800	-9.37	-9.37	-9.61
96900	-9.38	-9.38	-9.62
97000	-9.46	-9.46	-9.70
97100	-9.60	-9.60	-9.84
97200	-9.39	-9.39	-9.63
97300	-9.60	-9.60	-9.85
97400	-9.51	-9.51	-9.76
97500	-9.37	-9.37	-9.62
97600	-9.59	-9.59	-9.84
97700	-9.65	-9.65	-9.90
97800	-9.59	-9.59	-9.83
97900	-9.56	-9.56	-9.80
98000	-9.47	-9.47	-9.71
98100	-9.68	-9.68	-9.92
98200	-9.73	-9.73	-9.97
98300	-9.66	-9.66	-9.89
98400	-9.66	-9.66	-9.89
98500	-9.67	-9.67	-9.90
98600	-9.67	-9.67	-9.89
98700	-9.66	-9.66	-9.88
98800	-9.46	-9.46	-9.68
98900	-9.57	-9.57	-9.78
99000	-9.64	-9.64	-9.85
99100	-9.57	-9.57	-9.78
99200	-9.40	-9.40	-9.61
99300	-9.07	-9.07	-9.27
99400	-9.12	-9.12	-9.32
99500	-9.25	-9.25	-9.45
99600	-9.51	-9.51	-9.71
99700	-9.65	-9.65	-9.85
99800	-9.24	-9.24	-9.43
99900	-9.27	-9.27	-9.46
100000	-9.26	-9.26	-9.45
103400	-8.42	-8.42	-8.61
103500	-8.47	-8.47	-8.66
103600	-8.30	-8.30	-8.49
103700	-8.28	-8.28	-8.47
103800	-8.24	-8.24	-8.43
103900	-8.39	-8.39	-8.58
104000	-8.15	-8.15	-8.33
104100	-8.14	-8.14	-8.32
104200	-8.05	-8.05	-8.23
104300	-7.79	-7.79	-7.97
104400	-7.99	-7.99	-8.17
104500	-8.19	-8.19	-8.37
104600	-7.84	-7.84	-8.02
104700	-7.89	-7.89	-8.06
104800	-8.29	-8.29	-8.46
104900	-8.31	-8.31	-8.48
105000	-8.15	-8.15	-8.32
105100	-8.36	-8.36	-8.53
105200	-7.94	-7.94	-8.11
105300	-8.08	-8.08	-8.25
105400	-8.23	-8.23	-8.40
105500	-8.00	-8.00	-8.18
105600	-7.94	-7.94	-8.12
105700	-8.04	-8.04	-8.22
105800	-8.08	-8.08	-8.27
105900	-7.89	-7.89	-8.08
106000	-8.02	-8.02	-8.21
106100	-8.00	-8.00	-8.20
106200	-7.99	-7.99	-8.19
106300	-8.26	-8.26	-8.47
106400	-8.46	-8.46	-8.67
106500	-8.29	-8.29	-8.50
106600	-8.54	-8.54	-8.76
106700	-8.16	-8.16	-8.38
106800	-8.14	-8.14	-8.37
106900	-8.32	-8.32	-8.55
107000	-8.05	-8.05	-8.28
107100	-8.06	-8.06	-8.29
107200	-8.20	-8.20	-8.44
107300	-8.12	-8.12	-8.36
107400	-8.28	-8.28	-8.53
107500	-8.07	-8.07	-8.32
107600	-8.19	-8.19	-8.44
107700	-8.21	-8.21	-8.46
107800	-8.15	-8.15	-8.40
107900	-8.36	-8.36	-8.62
108000	-8.51	-8.51	-8.77
108100	-8.32	-8.32	-8.58
108200	-8.32	-8.32	-8.58
108300	-8.46	-8.46	-8.72
108400	-8.48	-8.48	-8.74
108500	-8.46	-8.46	-8.73
108600	-8.63	-8.63	-8.90
108700	-8.64	-8.64	-8.91
108800	-8.51	-8.51	-8.78
108900	-8.37	-8.37	-8.64
109000	-999	-8.48	-8.75
109100	-8.58	-8.58	-8.86
109200	-8.71	-8.71	-8.99
109300	-999	-8.70	-8.98
109400	-999	-8.69	-8.97
109500	-999	-8.68	-8.97
109600	-999	-8.67	-8.96
109700	-999	-8.66	-8.96
109800	-8.65	-8.65	-8.95
109900	-999	-8.67	-8.98
110000	-999	-8.69	-9.00
110100	-8.71	-8.71	-9.03
110200	-999	-8.69	-9.01
110300	-999	-8.66	-8.99
110400	-8.64	-8.64	-8.97
110500	-999	-8.73	-9.06
110600	-999	-8.81	-9.15
110700	-999	-8.90	-9.24
110800	-8.98	-8.98	-9.33
110900	-999	-8.93	-9.29
111000	-999	-8.88	-9.24
111100	-8.83	-8.83	-9.20
111200	-999	-8.82	-9.19
111300	-999	-8.81	-9.18
111400	-8.80	-8.80	-9.18
111500	-999	-8.84	-9.22
111600	-999	-8.89	-9.27
111700	-8.93	-8.93	-9.31
111800	-999	-8.88	-9.26
111900	-999	-8.83	-9.21
112000	-8.78	-8.78	-9.16
112100	-999	-8.71	-9.09
112200	-999	-8.64	-9.02
112300	-8.57	-8.57	-8.95
112400	-999	-8.57	-8.95
112500	-999	-8.56	-8.94
112600	-8.56	-8.56	-8.94
112700	-999	-8.61	-8.99
112800	-999	-8.67	-9.05
112900	-8.72	-8.72	-9.10
113000	-999	-8.76	-9.14
113100	-999	-8.80	-9.18
113200	-8.84	-8.84	-9.22
113300	-999	-8.86	-9.24
113400	-999	-8.87	-9.25
113500	-8.89	-8.89	-9.27
113600	-999	-8.90	-9.28
113700	-999	-8.90	-9.28
113800	-8.91	-8.91	-9.29
113900	-8.86	-8.86	-9.24
114000	-8.84	-8.84	-9.21
114100	-8.84	-8.84	-9.21
114200	-9.01	-9.01	-9.38
114300	-8.96	-8.96	-9.33
114400	-8.84	-8.84	-9.20
114500	-9.07	-9.07	-9.43
114600	-9.06	-9.06	-9.42
114700	-9.02	-9.02	-9.37
114800	-9.00	-9.00	-9.35
114900	-8.63	-8.63	-8.97
115000	-8.71	-8.71	-9.04
115100	-8.72	-8.72	-9.05
115200	-8.72	-8.72	-9.04
115300	-8.73	-8.73	-9.04
115400	-8.74	-8.74	-9.04
115500	-8.68	-8.68	-8.98
115600	-8.71	-8.71	-9.00
115700	-8.70	-8.70	-8.98
115800	-8.73	-8.73	-9.00
115900	-8.63	-8.63	-8.89
116000	-8.74	-8.74	-8.99
116100	-8.54	-8.54	-8.78
116200	-8.59	-8.59	-8.82
116300	-8.52	-8.52	-8.74
116400	-8.39	-8.39	-8.60
116500	-8.37	-8.37	-8.58
116600	-8.37	-8.37	-8.57
116700	-8.36	-8.36	-8.55
116800	-8.38	-8.38	-8.56
116900	-8.41	-8.41	-8.59
