age,d18O_diff
300,0.184140681255478
500,-0.04929812161535807
700,-0.0030074575350980126
900,-0.1355081154831126
1100,-0.007101782880326368
1300,0.04541709999152488
1500,0.1015571026197506
1700,-0.06426679492946619
1900,-0.07389623235493303
2100,-0.20393692351869674
2300,-0.06733506347305962
2500,-0.021421366079835025
2700,0.05007239128073593
2900,0.019338700208635373
3100,0.10162793574021833
3300,0.1010870419462293
3500,0.13423881305427443
3700,-0.07623419746708748
3900,-0.13389185821014848
4100,0.022743004408063427
4300,0.021065375932622032
4500,0.14953240759134445
4700,-0.045364785135710406
4900,-0.018831221001100573
5100,-0.09040133049507659
5300,0.018782734422629233
5500,0.07798917687185991
5700,0.011118982372252617
5900,0.023432181318057133
6100,0.05616814826156258
6300,0.24223724073874564
6500,0.16568596642580502
6700,0.13835228697291058
6900,0.12315968454301185
7100,0.22198196571726214
7300,0.38404022715684505
7500,0.20592727380235942
7700,0.21003295868055716
7900,0.1299857965629272
8100,0.3175289972745219
8300,0.2175498558494624
8500,0.004195869570594368
8700,0.15360017554517924
8900,0.1020092525658356
9100,0.24642546978446944
9300,0.2611044610730673
9500,0.3454810348334618
9700,0.18445279650279645
9900,-0.2872459858422758
10100,-0.36116231073157223
10300,-0.24976506434627055
10500,-0.07044254572033992
10700,-0.04412868878186771
10900,0.015186740154582878
11100,-0.018829019942209868
11300,-0.03810835024552972
11500,0.10893739714854433
11700,0.23671121472263934
11900,0.5508566788591622
12100,0.3981855711864881
12300,0.4527379563925251
12500,0.2092289858841596
12700,0.015913996942551023
12900,-0.020972849514961922
13100,-0.10378568799825416
13300,0.029012909511997975
13500,-0.0453286956372736
13700,-0.007090890207010148
13900,0.04840121106194317
14100,-0.003710295256574625
14300,0.04189361530623614
14500,-0.02135608884207585
14700,0.13070662272185984
14900,-0.014918929021987992
15100,-0.0701518708761597
15300,-0.22420618682557603
15500,-0.1314550874954108
15700,-0.02891246410555226
15900,-0.1382228337416933
16100,-0.052278754034773556
16300,-0.0812514985658197
16500,0.11456206416363557
16700,0.08206673789444352
16900,0.04769435737838279
17100,0.011344020032552748
17300,0.15891000097477104
17500,0.10386080934890174
17700,0.20394164980903895
17900,-0.04969653226783777
18100,-0.037018939366475934
18300,-0.07573792085128161
18500,0.08433821656702634
18700,-0.05105543532275192
18900,0.13356214123515997
19100,0.07860889986640984
19300,0.14972884508293305
19500,0.03539963111008859
19700,-0.002654034916027115
19900,0.0884172568609074
20100,0.04838142294136105
20300,-0.050959746577717624
20500,0.08499707935683887
20700,-0.03097304340219864
20900,0.057075382736243796
21100,-0.03454342606589478
21300,0.004786359275712471
21500,0.07412593554600733
21700,0.04808420528969748
21900,0.01283036907210544
22100,0.06838464702627078
22300,-0.03841603870548482
22500,-0.045193613972969615
22700,-0.1416861091351933
22900,-0.06513552666883982
23100,0.0011846604176497522
23300,-0.021819801569684216
23500,-0.1442570345400398
23700,-0.044428321989016695
23900,0.09866399990679753
