age,temp
0,-8.898345588235294
100,-8.894669117647059
200,-8.890992647058823
300,-8.88731617647059
400,-8.883639705882354
500,-8.8796786389414
600,-8.847542533081286
700,-8.815406427221173
800,-8.783270321361059
900,-8.751134215500946
1000,-8.718998109640832
1100,-8.686862003780718
1200,-8.654725897920605
1300,-8.622589792060491
1400,-8.590453686200377
1500,-8.558317580340264
1600,-8.547893719806762
1700,-8.566251207729469
1800,-8.584608695652173
1900,-8.602966183574878
2000,-8.621323671497585
2100,-8.63968115942029
2200,-8.658038647342995
2300,-8.676396135265701
2400,-8.694753623188406
2500,-8.713111111111111
2600,-8.728331595411888
2700,-8.70747653806048
2800,-8.686621480709071
2900,-8.665766423357665
3000,-8.644911366006257
3100,-8.624056308654849
3200,-8.60320125130344
3300,-8.582346193952032
3400,-8.561491136600624
3500,-8.540636079249218
3600,-8.51353863381859
3700,-8.479944008958567
3800,-8.446349384098545
3900,-8.412754759238522
4000,-8.3791601343785
4100,-8.345565509518478
4200,-8.311970884658455
4300,-8.278376259798433
4400,-8.24478163493841
4500,-8.170566037735849
4600,-8.064433962264152
4700,-7.958301886792453
4800,-7.8521698113207545
4900,-7.746037735849057
5000,-7.639905660377359
5100,-7.533773584905661
5200,-7.427641509433962
5300,-7.322115384615385
5400,-7.2235576923076925
5500,-7.125
5600,-7.0264423076923075
5700,-6.927884615384615
5800,-6.829326923076923
5900,-6.730769230769231
6000,-6.632211538461538
6100,-6.533653846153846
6200,-6.452785445420326
6300,-6.3775031367628605
6400,-6.302220828105395
6500,-6.22693851944793
6600,-6.151656210790464
6700,-6.076373902132999
6800,-6.001091593475533
6900,-5.925809284818068
7000,-5.878315508021391
7100,-5.838208556149733
7200,-5.798101604278075
7300,-5.757994652406417
7400,-5.717887700534759
7500,-5.677780748663102
7600,-5.637673796791444
7700,-5.585652173913044
7800,-5.5071107994389905
7900,-5.428569424964937
8000,-5.3500280504908835
8100,-5.27148667601683
8200,-5.192945301542777
8300,-5.114403927068723
8400,-5.029383259911894
8500,-4.914845814977974
8600,-4.8003083700440525
8700,-4.685770925110132
8800,-4.571233480176211
8900,-4.45669603524229
9000,-4.34215859030837
9100,-4.237801526717557
9200,-4.1507786259541986
9300,-4.063755725190839
9400,-3.9767328244274807
9500,-3.889709923664122
9600,-3.802687022900763
9700,-3.715664122137405
9800,-3.622689335394127
9900,-3.528408037094281
10000,-3.434126738794436
10100,-3.3398454404945905
10200,-3.2455641421947448
10300,-3.1512828438948994
10400,-3.061590909090909
10500,-2.9804220779220776
10600,-2.8992532467532466
10700,-2.8180844155844156
10800,-2.736915584415584
10900,-2.655746753246753
11000,-2.582755632582322
11100,-2.5446273830155977
11200,-2.5064991334488735
11300,-2.468370883882149
11400,-2.430242634315425
11500,-2.3921143847487003
11600,-2.323249551166966
11700,-2.211938958707361
11800,-2.100628366247756
11900,-1.989317773788151
12000,-1.8780071813285457
12100,-1.7666965888689408
12200,-1.574787052810903
12300,-1.3686541737649063
12400,-1.1625212947189096
12500,-0.9563884156729132
