age,co2_diff
300,0.6723443136292531
500,0.19123471507404588
700,0.3199241709345131
900,1.0928592133737425
1100,0.9029240463172243
1300,0.6659009168261036
1500,0.24233251842008485
1700,-0.3648434208666629
1900,0.21867694572392793
2100,0.5607306857630192
2300,0.7789496137693277
2500,0.7946455064699194
2700,0.6727796024842121
2900,-0.11633486267118087
3100,0.33683583488337376
3300,0.5425173885713264
3500,0.5331039233097954
3700,0.45231207966858733
3900,0.3471944520465797
4100,0.24262689501725276
4300,-0.10886076286379875
4500,0.26092936675419764
4700,-0.39034909116216454
4900,-0.18794998528179008
5100,-0.48248330780845095
5300,-0.5563468290499145
5500,-0.14133994473644407
5700,0.2925983899416451
5900,0.21908941353061095
6100,0.8646257260877519
6300,1.3622491894492725
6500,1.6897254961261297
6700,2.236583157044265
6900,2.540747973064896
7100,3.652084187851983
7300,3.386500349025738
7500,3.2211208244595753
7700,3.012250430497488
7900,3.3192082690322877
8100,2.9021594734156793
8300,2.5005956040230615
8500,2.2398679364681584
8700,2.940814149221552
8900,2.5594495115749396
9100,1.3799157847776655
9300,1.521509891488563
9500,1.719396896584385
9700,1.5888471512498938
9900,1.1413171530038824
10100,0.826453950670242
10300,1.088835276669613
10500,1.2493887873384892
10700,0.6513379554897085
10900,0.8754093129441856
11100,1.3741165158309911
11300,1.6041104501860843
11500,1.6682265516826078
11700,2.423763797688082
11900,2.2748238584857745
12100,2.4955598127596943
12300,2.253282864207449
12500,1.9025862948737995
12700,1.4884118291590198
12900,1.1781543145398246
13100,0.8726641807017472
13300,0.5515949367123198
13500,0.1892682793799736
13700,-0.3550066055717025
13900,-0.35806276834784967
14100,-0.6098219862877841
14300,-0.5961402710119614
14500,-0.6095924907988888
14700,-0.6182791943884922
14900,-0.4400562606192011
15100,-0.4302618263831164
15300,-0.39768023477171255
15500,-0.3859924312072849
15700,-0.24164861342342192
15900,-0.04897110035977903
16100,-0.07550340265152045
16300,0.0837137216760766
16500,-0.01855515301997457
16700,0.3118270761002577
16900,0.5222078359620923
17100,0.42000440102219727
17300,0.5856668885679142
17500,0.7183666049517683
17700,0.4645330814728936
17900,0.8164031337131519
18100,1.0147442398823046
18300,0.968479822371819
18500,0.91869969979399
18700,0.9411304544610744
18900,0.7169533940166275
19100,1.0182273273717328
19300,0.6932341029584563
19500,0.786048158706592
19700,0.7515812433206293
19900,0.6327388119965462
20100,0.5497843744571469
20300,0.5401420499791811
20500,0.6205777766310803
20700,0.5750613569611005
20900,0.4879103612173594
21100,0.30809593496627485
21300,0.5380545377686303
21500,0.5219276538486497
21700,0.3857401728607215
21900,0.3418216049837497
22100,0.40931686053352223
22300,0.7022202037310308
22500,0.4365370064004992
22700,0.2747897083405064
22900,0.24449705719570147
23100,2.4523722825287564
23300,0.0
23500,0.0
23700,0.0
23900,0.0
