9616.06	263.00
9633.58	263.80
9963.42	264.40
10055.56	264.20
10198.35	264.00
10257.17	263.40
10364.44	265.70
10431.87	264.90
10571.73	267.50
10747.77	266.90
10869.86	266.00
10904.01	265.10
11023.49	267.60
11159.48	264.80
11231.37	264.80
11256.34	265.00
11271.14	265.30
11327.49	264.40
11388.28	264.10
11393.45	271.17
11410.58	271.66
11427.06	273.51
11446.40	270.90
11461.53	266.74
11478.74	271.09
11494.82	264.70
11512.15	265.30
11529.63	270.22
11548.29	261.13
11565.00	251.55
11583.57	258.62
11602.17	257.99
11621.35	260.04
11641.29	259.89
11660.70	262.74
11680.63	262.25
11703.50	262.53
11721.50	261.17
11743.66	258.31
11764.29	257.63
11784.88	255.56
11806.74	259.90
11828.57	262.57
11850.54	252.92
11872.75	257.99
11895.03	259.39
11917.82	251.85
11939.82	252.41
11962.90	257.10
11984.80	255.03
12007.18	259.66
12029.19	257.02
12050.68	255.14
12073.20	255.42
12095.57	254.97
12116.88	253.65
12138.62	253.23
12159.94	252.95
12184.15	253.38
12204.71	252.92
12227.21	254.73
12249.31	250.97
12270.12	248.31
12292.41	247.00
12314.68	250.40
12336.08	251.67
12358.28	249.83
12381.03	250.18
12402.66	248.42
12425.49	250.74
12447.19	253.92
12469.16	248.27
12491.28	251.02
12513.69	252.09
12535.54	250.94
12559.23	247.95
12580.14	246.53
12602.01	248.24
12625.45	245.59
12646.35	251.30
12668.28	244.02
12690.22	245.50
12711.82	246.23
12734.24	246.15
12754.66	243.35
12776.48	245.24
12797.24	243.44
12817.62	242.79
12839.39	242.18
12859.25	244.71
12879.99	241.15
12900.33	243.42
12921.19	238.68
12941.81	242.86
12962.72	241.91
12982.89	245.56
13025.07	238.82
13068.20	240.91
13111.59	243.41
13162.29	244.42
13198.97	240.86
13310.30	241.83
13376.64	244.25
13420.66	239.83
13486.65	247.86
13528.31	242.55
13593.43	245.59
13637.13	245.11
13705.10	243.08
13750.13	241.95
13820.79	244.57
13880.85	239.92
13904.60	241.87
13941.65	245.27
13964.68	236.88
13999.63	240.40
14035.20	243.24
14060.03	243.36
14083.79	242.36
14118.30	240.60
14153.69	244.21
14177.75	243.04
14188.85	239.80
14223.62	246.08
14235.48	242.39
14256.63	244.33
14290.02	246.55
14301.60	246.60
14322.64	244.95
14343.40	242.61
14376.38	246.06
14398.90	245.14
14408.63	247.17
14419.52	239.83
14430.79	245.73
14441.55	243.86
14452.35	243.77
14463.83	241.97
14473.47	239.31
14485.07	241.59
14496.21	241.97
14507.96	244.10
14523.94	242.12
14530.17	238.62
14540.50	237.42
14551.94	238.34
14562.44	241.49
14574.00	232.91
14585.44	232.18
14596.55	234.53
14608.62	238.54
14620.63	235.48
14637.33	231.90
14642.53	228.64
14653.43	231.39
14665.88	231.79
14677.08	232.50
14689.45	231.58
14700.10	230.51
14713.46	232.40
14723.62	231.87
14735.74	237.17
14747.72	236.22
14759.63	231.85
14771.47	234.63
14783.33	232.72
14795.05	232.36
14807.60	232.47
14832.37	232.89
14856.84	233.79
14867.30	231.65
14891.33	232.37
14915.13	229.38
14953.38	232.99
14976.78	238.47
15013.15	233.67
15036.72	232.81
15060.80	231.84
15098.20	234.18
15120.95	232.27
15157.44	229.77
15194.79	231.64
15218.82	232.92
15256.58	229.39
15282.42	228.74
15334.82	227.27
15416.61	227.53
15516.68	226.76
15574.78	226.16
15636.57	228.86
15710.27	226.36
15786.91	227.51
15802.12	227.77
15860.48	227.72
15863.96	228.41
15879.08	226.39
15895.66	228.48
15946.09	228.24
15978.29	226.41
16013.65	228.86
16030.03	230.19
16049.00	225.49
16069.78	231.32
16084.83	227.24
16102.60	224.49
16121.92	222.56
16139.78	218.22
16158.49	216.84
16177.84	218.60
16197.50	216.43
16216.28	218.83
16236.35	215.21
16255.30	213.51
16274.41	216.95
16294.24	215.79
16320.00	221.19
16332.39	217.94
16371.25	211.95
16411.53	212.65
16450.07	212.46
16516.40	217.15
16593.50	214.25
16654.65	209.53
16727.55	209.19
16788.19	206.93
16854.16	208.32
16952.20	206.10
17024.03	202.63
17098.10	202.29
17148.38	199.88
17173.33	198.65
17222.75	194.50
17247.62	197.02
17271.88	195.89
17295.97	194.76
17322.22	197.00
17348.09	195.48
17373.92	195.59
17399.00	196.37
17425.52	196.62
17451.19	200.96
17477.03	199.79
17503.54	197.21
17531.70	198.38
17556.34	195.52
17583.08	193.52
17611.61	194.41
17637.71	195.70
17665.19	191.25
17692.88	195.21
17722.19	193.52
17747.60	194.26
17775.82	195.72
17803.54	192.54
17833.28	192.66
17861.89	192.96
17894.47	191.79
17921.38	191.73
17952.23	192.64
17983.06	192.59
18012.98	188.88
18045.78	193.01
18076.89	189.65
18108.06	192.88
18139.61	192.52
18171.42	193.03
18201.06	191.12
18236.54	192.73
18268.86	192.21
18300.68	192.47
18335.79	191.45
18365.56	191.09
18398.02	191.67
18463.35	192.57
18559.57	197.90
18628.12	195.27
18685.15	196.97
18717.33	192.44
18749.08	192.50
18877.52	196.71
19039.16	195.09
19169.85	195.58
19331.00	195.52
19459.32	192.95
19522.58	195.42
19683.31	197.60
19778.66	200.06
19914.75	197.72
20111.67	194.47
20304.84	193.99
20430.97	197.93
20558.19	191.76
20719.57	196.66
20853.63	194.87
20956.66	192.40
21099.12	194.05
21230.51	191.24
21444.69	189.23
21672.33	191.96
21796.62	194.78
21936.75	191.38
22109.73	195.27
22246.37	196.08
22432.64	187.22
22488.39	187.02
22692.17	184.68
22746.51	185.21
22793.50	188.49
22892.62	190.01
22977.45	186.13
23138.86	189.40
23158.79	190.53
23252.88	190.08
23331.07	188.60
23423.34	197.67
23505.56	193.53
23592.90	186.78
23749.18	187.99
24024.20	183.13
24229.39	184.68
24422.70	186.73
24798.85	180.57
25322.13	180.69
25510.81	182.66
25704.52	183.38
25948.45	186.54
26179.90	184.52
26419.90	184.57
26480.78	183.77
26627.40	186.01
26704.28	185.51
26871.93	185.44
27027.00	186.43
27124.72	188.08
27212.36	187.39
27255.43	186.27
27341.37	194.93
27451.96	190.06
27614.78	191.95
27676.07	191.23
27723.26	191.53
27760.19	191.95
27835.57	191.46
27861.43	192.71
27888.70	190.61
27893.23	189.30
27995.97	187.59
28041.96	190.58
28060.68	189.28
28103.04	188.99
28149.43	189.29
28274.31	189.96
28391.85	191.82
28449.71	191.59
28548.43	192.63
28592.91	189.16
28605.99	189.65
28757.44	193.10
28806.75	192.82
28905.26	193.80
29023.60	193.89
29084.79	192.69
29130.98	193.26
29191.66	192.87
29334.35	192.26
29389.29	188.10
29433.87	192.39
29508.64	191.01
29551.11	189.83
29595.48	189.21
29795.74	189.24
29868.19	189.77
29930.18	191.28
30025.78	190.97
30140.80	191.38
30187.99	191.57
30291.14	188.25
30371.84	188.48
30468.65	186.52
30503.67	185.99
30592.02	184.30
30721.13	182.94
30906.49	187.14
30969.59	190.33
31301.16	188.00
31553.95	188.48
31722.70	189.95
31992.39	193.71
32018.86	192.93
32135.08	192.51
32228.67	193.33
32281.70	193.91
32350.03	196.42
32353.15	196.91
32511.44	192.47
32565.08	195.25
32639.14	194.11
32715.92	194.61
32799.95	194.43
32883.67	195.08
32920.20	195.94
33019.82	199.30
33088.05	196.70
33216.96	196.33
33357.13	197.65
33628.03	196.90
33702.40	197.13
33766.70	197.80
33970.78	200.03
34054.20	195.63
34099.18	195.27
34121.12	194.46
34139.63	194.47
34170.93	196.47
34205.65	195.41
34278.80	195.93
34405.70	194.89
34466.58	195.79
34528.97	196.27
34550.71	196.20
34774.61	199.65
34820.60	199.49
34838.11	200.29
34866.08	198.89
34929.28	197.16
35045.00	202.80
35086.46	203.09
35310.66	198.78
35387.34	203.60
35503.97	205.38
35559.62	204.47
35582.16	203.62
35605.91	201.36
35669.11	200.30
35720.73	201.06
35732.20	202.04
35754.54	201.89
35792.08	201.83
35897.24	201.81
35926.52	200.50
36080.48	203.29
36174.77	198.80
36313.84	204.12
36400.99	201.78
36490.25	200.09
36736.29	198.96
36822.33	205.10
36900.62	203.77
36944.09	203.75
37052.17	202.76
37172.52	203.51
37256.65	206.36
37352.45	210.16
37377.20	207.35
37531.47	208.25
37537.00	209.66
37573.33	206.59
37666.82	212.51
37697.31	209.84
37855.60	214.30
37884.68	212.14
38015.20	212.09
38133.74	214.21
38239.70	211.21
38328.46	214.36
38406.04	208.34
38433.01	206.52
38525.39	207.41
38600.86	208.00
38654.80	210.79
38715.28	207.23
38775.96	210.08
38816.61	208.23
38865.12	204.79
38914.43	204.46
38967.36	206.54
39057.12	206.09
39119.61	205.65
39201.02	205.99
39222.35	202.34
39299.64	204.28
39366.96	207.32
39513.07	208.69
39550.81	209.50
39567.62	209.33
39587.64	207.87
39627.49	204.78
39651.14	191.53
39702.96	198.14
39764.35	200.40
39870.61	195.70
39959.37	196.67
40007.57	193.58
40136.28	193.87
40151.87	197.55
40294.97	192.60
40364.81	193.08
40398.22	193.69
40562.34	197.90
40741.01	201.32
40808.93	201.48
41011.05	200.47
41165.11	200.97
41427.26	201.53
41563.80	204.19
41868.09	205.49
42022.29	201.12
42164.66	199.89
42582.41	200.90
42896.86	204.83
43119.82	206.35
43238.78	204.26
43443.87	203.16
43623.77	201.66
43789.97	204.22
43936.23	203.18
44085.01	201.69
44373.00	204.31
44482.94	202.00
44629.88	206.22
44770.79	204.83
44936.87	212.29
45098.35	210.44
45279.64	211.49
45426.41	207.95
45565.66	213.92
45746.72	214.50
45983.95	217.51
46166.14	222.72
46347.49	221.77
46472.20	219.25
46600.29	218.35
46929.71	216.42
47040.94	214.18
47183.33	210.84
47382.92	210.27
47613.06	207.60
47823.76	204.26
48010.97	203.79
48245.80	205.66
48526.99	206.18
48732.96	200.98
49296.57	201.58
49613.59	200.12
49774.27	204.06
50041.61	203.87
50321.55	204.38
50536.94	206.74
50845.73	207.41
51350.65	207.64
51755.47	211.57
52105.74	215.08
52414.97	213.82
52714.80	219.08
52904.89	220.72
53133.38	221.15
53442.83	223.72
53736.87	223.26
54145.23	221.14
54497.79	220.37
54729.77	217.96
55039.19	213.89
55361.08	216.86
55641.81	208.19
55903.11	214.78
56261.77	210.27
56591.42	207.67
56859.55	212.44
57571.37	215.70
57838.37	217.38
58208.14	223.72
58583.78	224.35
58801.45	223.15
59477.43	231.29
59754.51	226.35
60109.79	223.45
