age,co2
100,186.58449959429296
300,187.25684390792222
500,187.44807862299626
700,187.76800279393078
900,188.86086200730452
1100,189.76378605362174
1300,190.42968697044785
1500,190.67201948886793
1700,190.30717606800127
1900,190.5258530137252
2100,191.08658369948822
2300,191.86553331325754
2500,192.66017881972746
2700,193.33295842221168
2900,193.2166235595405
3100,193.55345939442387
3300,194.0959767829952
3500,194.629080706305
3700,195.08139278597358
3900,195.42858723802016
4100,195.6712141330374
4300,195.5623533701736
4500,195.8232827369278
4700,195.43293364576564
4900,195.24498366048385
5100,194.7625003526754
5300,194.2061535236255
5500,194.06481357888904
5700,194.3574119688307
5900,194.5765013823613
6100,195.44112710844905
6300,196.80337629789832
6500,198.49310179402445
6700,200.72968495106872
6900,203.27043292413362
7100,206.9225171119856
7300,210.30901746101134
7500,213.5301382854709
7700,216.5423887159684
7900,219.8615969850007
8100,222.76375645841637
8300,225.26435206243943
8500,227.5042199989076
8700,230.44503414812914
8900,233.00448365970408
9100,234.38439944448174
9300,235.9059093359703
9500,237.6253062325547
9700,239.2141533838046
9900,240.35547053680847
10100,241.1819244874787
10300,242.27075976414832
10500,243.5201485514868
10700,244.17148650697652
10900,245.0468958199207
11100,246.4210123357517
11300,248.02512278593778
11500,249.6933493376204
11700,252.11711313530847
11900,254.39193699379425
12100,256.88749680655394
12300,259.1407796707614
12500,261.0433659656352
12700,262.5317777947942
12900,263.70993210933403
13100,264.5825962900358
13300,265.1341912267481
13500,265.3234595061281
13700,264.9684529005564
13900,264.6103901322085
14100,264.00056814592074
14300,263.4044278749088
14500,262.7948353841099
14700,262.1765561897214
14900,261.7364999291022
15100,261.3062381027191
15300,260.90855786794737
15500,260.5225654367401
15700,260.28091682331666
15900,260.2319457229569
16100,260.15644232030536
16300,260.24015604198144
16500,260.22160088896146
16700,260.5334279650617
16900,261.0556358010238
17100,261.475640202046
17300,262.0613070906139
17500,262.7796736955657
17700,263.2442067770386
17900,264.06060991075174
18100,265.07535415063404
18300,266.04383397300586
18500,266.96253367279985
18700,267.9036641272609
18900,268.62061752127755
19100,269.6388448486493
19300,270.33207895160774
19500,271.11812711031433
19700,271.86970835363496
19900,272.5024471656315
20100,273.05223154008866
20300,273.59237359006784
20500,274.2129513666989
20700,274.78801272366
20900,275.2759230848774
21100,275.58401901984365
21300,276.1220735576123
21500,276.64400121146093
21700,277.02974138432165
21900,277.3715629893054
22100,277.7808798498389
22300,278.48310005356996
22500,278.91963705997046
22700,279.19442676831096
22900,279.43892382550666
23100,281.8912961080354
23300,281.8912961080354
23500,281.8912961080354
23700,281.8912961080354
23900,281.8912961080354
